"ARZone","Site","Year","Studytype","StudyCode","Sno","FarmerID","Vilage","Sub.village","Maize.variety","Treat","Fertilizer.type","MaizeYld","MzYld_RatioMax","MzYld_Ratio5.","PlantDEnsity","ISFM_Comps","ISFM_comment","Fertilizer","ImprVar","Intercrop","SWC","Man_Appl","FreqMan","DistHome","LandscapePosition","M_Gender","Lat","Long","GrossMargins","Grain.N...","Grain.P...","DataOwner","ISFM_i"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN001","Kibaoni                                    ","Rest house                        ","K6Q","FP","Control",0.18,0.0158870255957635,0.0263157894736842,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN001","Kibaoni                                    ","Rest house                        ","STUKA","FP","Control",1.13,0.0997352162400706,0.165204678362573,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN003","Kibaoni                                    ","Rest house                        ","STUKA","FP","Control",1.1,0.0970873786407767,0.160818713450292,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN003","Kibaoni                                    ","Rest house                        ","K6Q","FP","Control",0.575,0.0507502206531333,0.0840643274853801,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN004","Kibaoni                                    ","Rest house                        ","STUKA","FP","Control",0.58,0.0511915269196823,0.0847953216374269,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN004","Kibaoni                                    ","Rest house                        ","K6Q","FP","Control",0.0767,0.00676963812886143,0.0112134502923977,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN005","Kibaoni                                    ","Rest house                        ","STUKA","FP","Control",1.12,0.0988526037069726,0.16374269005848,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN005","Kibaoni                                    ","Rest house                        ","TANH601","FP","Control",2.2,0.194174757281553,0.321637426900585,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN006","Kibaoni                                    ","Rest house                        ","K6Q","FP","Control",4.48979591836735,0.396275014860313,0.65640291204201,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KBN006","Kibaoni                                    ","Rest house                        ","STUKA","FP","Control",6.73469387755102,0.59441252229047,0.984604368063015,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
